Drug,INPUT (CompTox),FOUND_BY (CompTox),DTXSID (CompTox),PREFERRED_NAME (CompTox),Route(s),UCSF Handling Recommendation,2016 NIOSH Category,Preg Risk,Risk Assessment/Comments
Pembrolizumab,Pembrolizumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,NA,"Monoclonal antibody that targets programmed cell?death?1 receptor (PD?1). Not linked to cytotoxic agent. No handling precautions specified in PI. PI and SDS indicate no data are available on carcinogenic/mutagenic potential. In animal studies, there were no notable effects to female or male reproductive organs. There is no available human data informing the risk of embryo-fetal toxicity. Similar MOA as nivolumab. "
Pemetrexed,Pemetrexed,Approved Name,DTXSID2048329,Pemetrexed,IV,HAZARDOUS,Group 1,D,
Pentamidine,Pentamidine,Approved Name,DTXSID7023431,Pentamidine,IV,NO HANDLING PRECAUTIONS,Non-hazardous,C,Removed from NIOSH list in 2014 due to not meeting criteria for hazardous drug.
Pentamidine,Pentamidine,Approved Name,DTXSID7023431,Pentamidine,INH,NO HANDLING PRECAUTIONS,Non-hazardous,,
Pentostatin,Pentostatin,Approved Name,DTXSID2023436,Pentostatin,IV,HAZARDOUS,Group 1,D,
Pertuzumab,Pertuzumab,NO_MATCH,-,-,IV,REPRODUCTIVE TOXIN,Group 1,,Monoclonal antibody that targets HER2-neu.   Not clear why identified for addition to group 1 in 2016 other than classification as antineoplastic agent.  No manufacturer specified handling requirements.  SDS indicates not a known carcinogen.  BBW for potential embryo-fetal toxicity.
Phenoxybenzamine,Phenoxybenzamine,Approved Name,DTXSID0023458,Phenoxybenzamine,PO,HAZARDOUS: LIMITED RISK,Group 2,C,"Alpha-1 blocking agent.  Listed in 2014 NIOSH list due to IARC category listing of 2B (possible human carcinogen).  PI indicates possible carcinogenicity/mutagenicity with prolonged exposure and high doses.  Does not specify handling precautions are required.  SDS indicates no special engineering controls or PPE for consumer, recommends face and eye protection and gloves in medical/laboratory setting.  Unlikely to pose risk when working with intact product.  "
Phenytoin,Phenytoin,Expert Validated Synonym,DTXSID8020541,"5,5-Diphenylhydantoin",IV,NO HANDLING PRECAUTIONS,Group 2,D,SDS indicates no engineering controls or PPE required under normal use conditions.  PI indicates low potential for mutagenicity and carcinogenicity in animal models.  Consider exposure potential to be low with typical handling required for preparation and administration of all dosage forms.  No handling precautions required.
Phenytoin,Phenytoin,Expert Validated Synonym,DTXSID8020541,"5,5-Diphenylhydantoin",PO,NO HANDLING PRECAUTIONS,Group 2,D,
Plerixafor,Plerixafor,Approved Name,DTXSID70869520,Plerixafor,SQ,REPRODUCTIVE TOXIN,Group 3,D,Teratogenicity in laboratory studies.
Pomalidomide,Pomalidomide,Approved Name,DTXSID40893458,Pomalidomide,PO,REPRODUCTIVE TOXIN,Not listed,X,Similar activity and teratogenicity to lenalidomide and thalidomide.
Ponatinib,Ponatinib,Approved Name,DTXSID50241426,Ponatinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,Limited distribution drug due to potential for hepatotoxicity. Similar in MOA to dasatinib and imatinib.  Unlikely to pose risk when dealing with intact product.  PI indicates no data to suggest mutagenic potential.  No data on carcinogenic potential.
Porfimer sodium (Photofrin),Porfimer sodium (Photofrin),NO_MATCH,-,-,IV,HAZARDOUS PRODUCT-SPECIFIC,Not listed,C,"Antineoplastic agent administered with photodynamic therapy. Cytotoxic activity is dependent on light and oxygen. Following administration, the drug is selectively retained in neoplastic tissues. Exposure of the drug to laser light at wavelengths >630 nm results in the production of oxygen free-radicals. PI indicates porfimer alone is not mutagenic but when activated by photodynamic therapy, porfirmer may be mutagenic.  Not listed in IARC or NTP as known carcinogen.  PI does not specify required handling precautions other than to avoid contact with skin and eyes during preparation and administration.  Agent is typically prepared in procedural area for immediate use.  Personnel must wear face and eye protection and gloves when mixing and administering."
Pralatrexate,Pralatrexate,Approved Name,DTXSID3048578,Pralatrexate,,HAZARDOUS,Group 1,D,
Procarbazine,Procarbazine,Approved Name,DTXSID4021189,Procarbazine,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Propylthiouracil (PTU),Propylthiouracil (PTU),Integrated Source Name,DTXSID5021209,6-Propyl-2-thiouracil,PO,HAZARDOUS: LIMITED RISK,Group 2,D,IARC list as possible human carcinogen.  No manufacturer-required handling precautions.  Limited data available in PI/SDS about carcinogenic/mutagenic potential.  Limited exposure potential when dealing with intact tablets.
Raloxifene,Raloxifene,Approved Name,DTXSID3023550,Raloxifene,PO,REPRODUCTIVE TOXIN,Group 2,X,Selective estrogen receptor modulator (SERM).  Added in 2014 due to embryofetal toxicity.  Similar to other anti-estrogen agents.
Ramucirumab,Ramucirumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,NA,VEGFr moncolonal antibody.  Similar in activity and MOA to bevacizumab.  Not linked to cytotoxic component.  No manufacturer specifed handling precautions.
Regorafenib,Regorafenib,Approved Name,DTXSID60226441,Regorafenib,PO,HAZARDOUS: LIMITED RISK,Group 1,NA,"VEGF tyrosine kinase inhibitor.  No handling precautions specified in PI.  However possible concern for mutagenicity indicated.  Low potential for exposure when working with in tact, film coated tablets."
Ribavirin,Ribavirin,Approved Name,DTXSID8023557,Ribavirin,INH,REPRODUCTIVE TOXIN,Group 3,X,Antiviral agent; inhibits viral RNA/DNA replication/synthesis.
Ribavirin,Ribavirin,Approved Name,DTXSID8023557,Ribavirin,PO,REPRODUCTIVE TOXIN,Group 3,X,
Riociguat,Riociguat,NO_MATCH,-,-,PO,REPRODUCTIVE TOXIN,Group 3,X,
Risperidone,Risperidone,Approved Name,DTXSID8045193,Risperidone,PO,NO HANDLING PRECAUTIONS,Group 2,C,"Per NIOSH 2014: evidence of tumors at low doses in laboratory studies.  Possibly prolactin-mediated.  PI indicates increased incidence of glandular tumors (e.g. pituitary, pancreatic) in rodents exposed to risperidone over prolonged periods (18-25 months) also thought to be related to prolactin.  PI does not specify handling precautions required. SDS indicates not hazardous as supplied.  Available in oral solution, tablets and disperable tablets.  Given that possible tumorigensis occurs with prolonged exposure and low potential for manipulation of product dispensed/administered to patients recommend no handling precautions required. "
Rituximab,Rituximab,Approved Name,DTXSID5040910,Rituximab,IV,NO HANDLING PRECAUTIONS,Not listed,C,
Romidepsin,Romidepsin,Approved Name,DTXSID8048579,Romidepsin,IV,HAZARDOUS,Group 1,D,Histone deacetylase inhibitor
Ruxolitinib,Ruxolitinib,Approved Name,DTXSID10240930,Ruxolitinib,PO,NO HANDLING PRECAUTIONS,Not listed,C,JAK kinase inhibitor.  PI indicates not carcinogenic or mutagenic.  No special handling precautions specified.  Low potential for exposure/manipulation of intact tablets.
Siltuximab,Siltuximab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,C,IL-6 monoclonal antibody.
Sipuleucel-T,Sipuleucel-T,Synonym,DTXSID50872279,Sipuleucel T,IV,HAZARDOUS PRODUCT-SPECIFIC,Not listed,NC,"Bio-hazardous agent.  Anti-tumor vaccine, prepared with patient's tumor cells off-site; must be handled with universal precautions/blood product.  Product comes in ""ready-to-administer"" form from manufacturer/requires minimal manipulation on site.  Product should be handled with gloves."
Sirolimus,Sirolimus,Approved Name,DTXSID5023582,Sirolimus,PO,HAZARDOUS: LIMITED RISK,Group 2,C,"Oral solution/capsules.  Similar to other immunosuppressive agents in risk for causing lymphomas with chronic exposure.  PI indicates not mutagenic, carcinogenic in animal models with prolonged exposure (86-104 weeks) to higher-than human doses.  PI does not specify handling precautions required.  Consider low risk for exposure potential in setting"
Sonidegib,Sonidegib,Approved Name,DTXSID501009335,Sonidegib,PO,HAZARDOUS: LIMITED RISK,Not listed,,"Hedge-hog pathway inhibitor.  Oral capsule.  PI indicates not mutagenic, but data on carcinogenicity are not available.  Embryo-fetal toxicity is very likely.  Will list as hazardous until additional information available."
Sorafenib,Sorafenib,Approved Name,DTXSID7041128,Sorafenib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Spironolactone,Spironolactone,Approved Name,DTXSID6034186,Spironolactone,PO,NO HANDLING PRECAUTIONS,Group 2,C,"NIOSH 2014 list suggests possible carcinogen due to tumorigenicity in lab studies.  Refers to BBW.  BBW indicates that the spironolactone, when administered in very high doses (10-500 mg/kg/day) over prolonged periods of time (1-2 years) can cause cancer in rats (hepatic and thyroid cancers and leukemia).  Doses of this magnitude are not achievable through routine exposure to spironolactone when handling tablets for dispensing or administration or even in non-sterile compounding.  "
Streptozocin,Streptozocin,Synonym,DTXSID2021282,Streptozotocin,IV,HAZARDOUS,Group 1,D,
Sunitinib,Sunitinib,Approved Name,DTXSID1041134,Sunitinib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Tadalafil,Tadalafil,Approved Name,DTXSID9046786,Tadalafil,PO,NO HANDLING PRECAUTIONS,Not listed,B,Phosphodiesterase inhibitor
Tacrolimus,Tacrolimus,Approved Name,DTXSID5046354,Tacrolimus,IV/PO liquid,HAZARDOUS,Group 1,C,"Oral liquid requires non-sterile compounding.  PI indicates risk for lymphoma and skin cancers are relted to the immunosuppressive effects of the agent as well as the intensity and duration of exposure.  In animal models, only therapeutic doses over prolonged periods were demonstrated to cause malginancy.  No evidence of mutagenic potential.  PI does not specify special handling precautions are required.  SDS indicates not carcinogenic, not mutagenic.  Specifies use of air hood for preparation of ""large amounts of tacrolimus"".  Specifies local exhaust ventilation.  Dose required to achieve therapeutic levels: PO 0.1-0.2 mg/kg/day; IV 0.01 mg/kg/day.  In preparation of compounded oral suspension and parenteral products, therapeutic dosage exposure is not achievable.  UCSF has traditionally treated this agent as hazardous and will continue to do so due to ventilation requirements "
Tacrolimus,Tacrolimus,Approved Name,DTXSID5046354,Tacrolimus,PO,HAZARDOUS: LIMITED RISK,Group 1,C,"Oral liquid requires non-sterile compounding.   Dose required to achieve therapeutic levels: PO 0.1-0.2 mg/kg/day; IV 0.01 mg/kg/day.  In preparation of compounded oral suspension and parenteral products, therapeutic dosage exposure is not achievable.  Compounding oral suspension: face mask to prevent injestion of dust particles and gloves will provide adequate protection.  Limited risk for intact oral capsules"
Talimogene Laherperepvec,Talimogene Laherperepvec,NO_MATCH,-,-,Intra-          lesional,HAZARDOUS PRODUCT-SPECIFIC,Not listed,,"Considered a biohazard and must be prepared with the use of proper personal protective equipment including:  protective gown or laboratory coat, safety glasses or face shield, and gloves.  May be prepared in BSC or CACI in lieu of other face protection.  Clean-up requires use of 1% sodium hypochlorite (bleach) solution or wipes.  Currently used only at the UCDCC clinic.  Follow specific preparation procedures available in the UCDMC Cance Center Infusion Pharmacy."
Tamoxifen,Tamoxifen,Approved Name,DTXSID1034187,Tamoxifen,PO,REPRODUCTIVE TOXIN,Group 1,D,SERM.  Listed in group 1 due to carcinogenic potential as well as reproductive toxicy.  Carcinogenic potential relates to risk for development of uterine cancer in women taking tamoxifen systemically for prolonged periods.  Limited exposure during preparation/administration unlikely to pose risk for development of chronic toxicities.  Will categorize as other SERM's.
Telavancin,Telavancin,Approved Name,DTXSID10873383,Telavancin,IV,REPRODUCTIVE TOXIN,Group 3,C,
Temozolomide,Temozolomide,Approved Name,DTXSID5043714,Temozolomide,IV,HAZARDOUS,Group 1,D,
Temozolomide,Temozolomide,Approved Name,DTXSID5043714,Temozolomide,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Temsirolimus,Temsirolimus,Approved Name,DTXSID2040945,Temsirolimus,IV,HAZARDOUS,Group 1,D,"Metabolized to sirolimus.  Same risks for potential malignancy associated with prolonged exposure, as a result of immunosuppression.  PI does not specify special handling required."
Teniposide,Teniposide,Approved Name,DTXSID8023638,Teniposide,IV,HAZARDOUS,Group 1,D,
Testosterone,Testosterone,Approved Name,DTXSID8022371,Testosterone,IV,REPRODUCTIVE TOXIN,Group 3,X,IARC classification for androgenic steroids
Thalidomide,Thalidomide,Approved Name,DTXSID9022524,Thalidomide,PO,REPRODUCTIVE TOXIN,Group 2,X,
Thioguanine,Thioguanine,Synonym from Valid Source,DTXSID6023652,6-Thioguanine,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Thiotepa,Thiotepa,Approved Name,DTXSID0021339,Thiotepa,IV/IT,HAZARDOUS,Group 1,D,
Tocilizumab,Tocilizumab,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Not listed,C,
Tofacitinib,Tofacitinib,Approved Name,DTXSID90197271,Tofacitinib,PO,NO HANDLING PRECAUTIONS,Group 2,C,JAK kinase inhibitor.  PI indicates not mutagenic; carcinogenic potential in animal models exposed to high doses for prolonged periods.  No special handling precautions specified.  Low potential for exposure/manipulation of in tact tablets.
Topotecan,Topotecan,Approved Name,DTXSID3042685,Topotecan,IV,HAZARDOUS,Group 1,D,
Topotecan,Topotecan,Approved Name,DTXSID3042685,Topotecan,PO,HAZARDOUS: LIMITED RISK,Group 1,D,
Toremifene,Toremifene,Approved Name,DTXSID3023689,Toremifene,PO,REPRODUCTIVE TOXIN,Group 1,D,SERM.  PI does not specify special handling requirments are required.
Trabectidin,Trabectidin,NO_MATCH,-,-,PO,HAZARDOUS,Not listed,,"Cytotoxic antineoplastic agent, alters DNA trascription/replication.  Concern for mutagenic potential."
Trametinib,Trametinib,NO_MATCH,-,-,PO,HAZARDOUS: LIMITED RISK,Proposed addition for 2016 Group 1,,Mitogen-activated extracellular kinase (MEK) inhibitor.  PI indicates not mutagenic.  No data on carcinogenic potential.  No special handling requirements specifed.  Potential for embryo-fetal toxicity therefore will lost as reproductive toxin.
Trastuzumab,Trastuzumab,NO_MATCH,-,-,IV,REPRODUCTIVE TOXIN,Not listed,,"Monoclonal antibody against HER2-neu.  Similar to pertuzumab.  PI does not specify handling precautions required.  BBW for embryo-fetal toxicity.  PI indicates no mutagenic potential and no data on carcinogenicity.  SDS indicates no required engineering controls except gloves.  Due to concern for potential embryo-fetal toxicity, will list as reproductive toxin.  NOTE: See specific recommendation for ado-trastuzumab which is linked to cytotoxic agent and must be handled as hazardous drug."
Tretinoin,Tretinoin,Expert Validated Synonym,DTXSID7021239,all-trans-Retinoic acid,PO,REPRODUCTIVE TOXIN,Not listed,D,
Trifluridine/Tipiracil,Trifluridine/Tipiracil,NO_MATCH,-,-,PO,HAZARDOUS: LIMITED RISK,Group 1,,Antimetabolite antineoplastic agent.
Trifluridine,Trifluridine,Approved Name,DTXSID4046602,Trifluridine,Ophtho,NO HANDLING PRECAUTIONS,Non-hazardous,C,Removed from NIOSH list in 2014 due to not meeting criteria for hazardous drug.
Valganciclovir,Valganciclovir,Approved Name,DTXSID8048288,Valganciclovir,PO,HAZARDOUS: LIMITED RISK,Group 2,C,PI indicates potential for carcinogenicity/mutagenicity in addition to potential for embryo-fetal toxicity.
Valproic acid,Valproic acid,Approved Name,DTXSID6023733,Valproic acid,IV,REPRODUCTIVE TOXIN,Group 3,X,
Valproic acid,Valproic acid,Approved Name,DTXSID6023733,Valproic acid,PO,REPRODUCTIVE TOXIN,Group 3,X,
Valrubicin,Valrubicin,Approved Name,DTXSID9046497,Valrubicin,intravesical,HAZARDOUS,Group 1,C,
Vandatenib,Vandatenib,NO_MATCH,-,-,PO,HAZARDOUS: LIMITED RISK,Group 1,D,EGFR inhibitor; PI specifies handling as with other cytotoxic agents.
Venetoclax,Venetoclax,Synonym,DTXSID30154863,ABT-199,PO,HAZARDOUS: LIMITED RISK,Not listed,NA,BCL-2 inhibitor; PI indicates no carcinogenicity data available.  Not mutagenic or genotoxic.  No special handling requirements specified.
Vigabatrin,Vigabatrin,Approved Name,DTXSID4041153,Vigabatrin,PO,REPRODUCTIVE TOXIN,Group 3,C,
Vemurafenib,Vemurafenib,Approved Name,DTXSID50238710,Vemurafenib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,BRAF inhibitor
Vinblastine,Vinblastine,Approved Name,DTXSID8021430,Vinblastine,IV,HAZARDOUS,Group 1,D,
Vincristine,Vincristine,Approved Name,DTXSID1032278,Vincristine,IV,HAZARDOUS,Group 1,D,
Vinorelbine,Vinorelbine,Approved Name,DTXSID8040640,Vinorelbine,IV,HAZARDOUS,Group 1,D,
Vismodegib,Vismodegib,Approved Name,DTXSID40236689,Vismodegib,PO,HAZARDOUS: LIMITED RISK,Group 1,D,Hedge-hog pathway inhibitor.  Oral capsule. Similar to sonidegib.  Embryo-fetal toxicity is very likely.  Will list as hazardous until additional information available.
Voriconazole,Voriconazole,Approved Name,DTXSID5046485,Voriconazole,IV,REPRODUCTIVE TOXIN,Group 3,D,
Voriconazole,Voriconazole,Approved Name,DTXSID5046485,Voriconazole,PO,REPRODUCTIVE TOXIN,Group 3,D,
Vorinostat,Vorinostat,Expert Validated Synonym,DTXSID6041133,Suberoylanilide hydroxamic acid,PO,HAZARDOUS: LIMITED RISK,Group 1,D,Recommended for addition to NIOSH list in 3/2009
Warfarin,Warfarin,Approved Name,DTXSID5023742,Warfarin,PO,REPRODUCTIVE TOXIN,Group 3,D,
Zidovudine,Zidovudine,Expert Validated Synonym,DTXSID8020127,3'-Azido-3'-deoxythymidine,IV,NO HANDLING PRECAUTIONS,Group 2,C,"Hazardous per IARC 2B.  Carcinogenic in animal studies at 3 times normal human dose.   In clinical practice, drug needs to be administered in real time during delivery of child of an HIV (+) mother. Limited exposure during preparation/administration unlikely to pose risk of carinogencity. Reviewed with Gyn Onc MD, Chemotherapy Committee 2014"
Zidovudine,Zidovudine,Expert Validated Synonym,DTXSID8020127,3'-Azido-3'-deoxythymidine,PO,NO HANDLING PRECAUTIONS,Group 2,C,
Ziprasidone,Ziprasidone,Approved Name,DTXSID4023753,Ziprasidone,IM,REPRODUCTIVE TOXIN,Group 3,C,
Ziprasidone,Ziprasidone,Approved Name,DTXSID4023753,Ziprasidone,PO,REPRODUCTIVE TOXIN,Group 3,C,
Ziv-aflibercept,Ziv-aflibercept,NO_MATCH,-,-,IV,NO HANDLING PRECAUTIONS,Group 1,C,VEGF-trap.  Similar in activity to bevacizumab. Not linked to cytotoxic component. No special handling required as per PI.
Zoledronic acid,Zoledronic acid,Expert Validated Synonym,DTXSID0042668,Zoledronate,IV,REPRODUCTIVE TOXIN,Group 3,D,
Zonisamide,Zonisamide,Approved Name,DTXSID9046023,Zonisamide,PO,REPRODUCTIVE TOXIN,Group 3,C,