,DTXSID,CASRN,name_original,formula_original,choose for targeted 1st 20,choose for targeted 2nd 20,revised priority based on likelihood to work on lc/ms - 1st 20,revised priority based on likelihood to work on lc/ms - 2st 20,choose.for.targeted.83,selected.rar.proposed.high.exposure.and.tox,Selected.forced.in.Nurses,FORCED.IN.FF,selected.because.of.NTA.confrmed.in.fragmentation,choose.for.targeted.long.and.older.,POS.mode,NEG.mode,neg.pos.from.JT,LH.rank,LH.notes,DTSC.and.other.chemists..any.concern.with.compatability.with.your.methods..chemical.stability.in.serum,DTSC...has.standards.,Elissia.ID.supplier,Link.to.order,QC EPA,In volatile EPA list,In pubchem ,Polarizability,LC-MS compatible (Elissia),,
1,DTXSID7044972,'6701-13-9,1--10-Decanediol--dimethacrylate,C18H30O4,1,,1,,1,NA,NA,,1,"1 yes from NTA-- FF, high expo pred",1,NA,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/6701-13-9?focus=products&page=1&perPage=30&sort=relevance&term=6701-13-9&type=product,,,GC-MS data,34.9,N,[M + H]+,Probably could force protonation in extreme acid environment
2,DTXSID7025132,'83-41-0,1--2-Dimethyl-3-nitrobenzene,C8H9NO2,1,,1,,1,NA,NA,,1,1 yes from NTA,1,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=P827,,,GC-MS data,23,M,[M + H]+,Probably could force protonation in  acid environment
3,DTXSID00442840,'329710-76-1,2-(TRIFLUOROMETHOXY)ETHYL--TRIFLUOROMETHANESULFONATE,C4H4F6O4S,1,,1,,1,NA,NA,,1,1 yes from nta - FF,NA,1,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/manchesterorganics/man412112319?context=bbe,,,no spectra information,13.3,N,NA,
4,DTXSID3075044,'2315-61-9,2-[2-[4-(1--1--3--3-Tetramethylbutyl)phenoxy]ethoxy]ethanol,C18H30O3,1,,1,,1,NA,NA,,1,1 yes from NTA-- FF,1,1,,NA,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/4-tert-octylphenol-diethoxylate-2315-61-9?requestFrom=search,,,GC-MS data,34.5,N,NA,
7,DTXSID3026566,'94-60-0,Dimethyl--hexahydroterephthalate,C10H16O4,1,,1,,1,NA,NA,,1,1 yes from NTA,1,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=P185,"mixture of cis and trans isomers; 60% cis and 40% trans; [Lewis, R.J., Sr (Ed.). Hawley's Condensed Chemical Dictionary. 12th ed. New York, NY: Van Nostrand Rheinhold Co., 1993, p. 415] ",,GC-MS data,19.7,N,NA,
11,DTXSID7023300,'83-43-2,Methylprednisolone,C22H30O5,1,,1,,1,NA,NA,,1,1 yes from NTA,1,1,,1,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/methylprednisolone-83-43-2,,,LC-MS data,39.7,M,[M + H]+,Maybe inefficient
12,DTXSID60221855,'71609-22-8,N-HYDROXY-N--N'-DIACETYLBENZIDINE,C16H16N2O3,1,,1,,1,NA,NA,,1,1 yes from NTA-FF,NA,1,,NA,NA,,no,S molecule,https://www.smolecule.com/products/s593758,Loaded based on no conflicts with this data in chemid and pubchem,,no spectra information,32.1,N,NA,
18,DTXSID2033314,'55-56-1,Chlorhexidine,C22H30Cl2N10,1,,1,,1,NA,1,,NA,? LH selection-- disinfectant,NA,1,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/55-56-1?focus=products&page=1&perPage=30&sort=relevance&term=55-56-1&type=product,,,MS-MS and GC-MS data,53.1,Y,[M + H]+,
20,DTXSID3022877,'147-94-4,Cytarabine,C9H13N3O5,1,,1,,1,NA,1,,NA,7 reported admin-- LH selection,NA,1,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J10463,,,LC-MS data,20.9,M,[M + H]+,Maybe inefficient
22,DTXSID5023035,'33419-42-0,Etoposide,C29H32O13,1,,1,,1,NA,1,,NA,8 reported administering-- long half life?,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=E768,,,LC-MS data,55.5,M,[M + H]+/ [M - H]-,May not see precursor
30,DTXSID4020822,'59-05-2,Methotrexate,C20H22N8O5,1,,1,,1,NA,1,,NA,Y? 12 reported administering-- LH selection,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J10045,,,LC-MS data,47.2,Y,[M + H]+/ [M - H]-,
32,DTXSID3023340,'128794-94-5,Mycophenolate--mofetil,C23H31NO7,1,,1,,1,NA,1,,NA,y? 15 reported administering-- LH selection,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=H944,double bond geometry,,LC-MS data,45.3,M,[M + H]+,Maybe inefficient
49,DTXSID2021864,'105-67-9,2--4-Dimethylphenol,C8H10O,1,,,5,1,1,NA,1,NA,"rar choice high pred exposure-- EDC e2 up, also FF chem",1,1,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/105-67-9?focus=products&page=1&perPage=30&sort=relevance&term=105-67-9&type=product,,,GC-MS data,15,N,NA,similar to p-cresol
58,DTXSID9020825,'5834-17-3,2-Methoxy-3-aminodibenzofuran,C13H11NO2,1,,1,,1,NA,NA,1,NA,"Yes, Furan",NA,NA,positive,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?A898123,,,GC-MS data,25.8,M,[M + H]+,may be able to force protonation
59,DTXSID2020921,'91-59-8,2-Naphthylamine,C10H9N;C10H9N,1,,1,,1,NA,NA,1,NA,"Yes, combustion ",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=U022,,,LC-MS data,19.2,M,[M + H]+,May be inefficient
65,DTXSID20577986,'140834-64-6,4-(PERFLUOROBUTYL)-2-BUTANONE,C8H7F9O,1,,,5,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,negative,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?N887338,,,no spectra information,16,N,NA,
69,DTXSID4034287,'104-67-6,5-Heptyldihydro-2(3H)-furanone,C11H20O2;C11H20O2;C11H20O2;C11H20O2;C11H20O2,1,,,5,1,NA,NA,1,NA,"Yes, Furan dif v1 vs 3, dif v1 vs v2, in potive mode also",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=M524,,,GC-MS data,20.9,N,NA,
75,DTXSID8052017,'3330-15-2,PERFLUORO-3-(1H-PERFLUOROETHOXY)PROPANE,NA,1,,,5,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,positive,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=0507AE,,,GC-MS data,11.3,N,NA,
80,DTXSID1020350,'120-71-8,2-Methoxy-5-methylaniline,C8H11NO,1,,1,,1,1,NA,,NA,rar choice? Exposure predict-- pellizari-- and p4 up,NA,1,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/120-71-8?focus=products&page=1&perPage=30&sort=relevance&term=120-71-8&type=product,,,LC-MS data,16.6,Y,[M + H]+,
81,DTXSID9041653,'4707-47-5,Methyl--2--4-dihydroxy-3--6-dimethylbenzoate,C10H12O4,,1,1,,1,1,NA,,NA,rar choice?-- high exposure predicted and EDC-e2 up,1,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=W1972,,,LC-MS data,20.4,Y,[M + H]+/ [M - H]-,
83,DTXSID7021869,'106-44-5,p-Cresol,C7H8O,1,1,,5,1,1,NA,,NA,rar choice high predicted exposure and EDC-e2 up,1,1,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=G463,,Y,LC-MS data,13.1,N,NA,Probably won't see the parent ion
39,DTXSID8048288,'175865-60-8,VALGANCICLOVIR,C14H22N6O5,,1,1,,1,NA,1,,NA,3 reported administering-- LH selection?-- yes-- common and hazardous,NA,1,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/175865-60-8?focus=products&page=1&perPage=30&sort=relevance&term=175865-60-8&type=product,,,LC-MS data,33.3,Y,[M - H]-/ [M + H]+,
41,DTXSID9046023,'68291-97-4,ZONISAMIDE,C8H8N2O3S,,1,1,,1,NA,1,,NA,yes-- repro toxin-- yes-- common and hazardous,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=F988,,,LC-MS data,20.5,Y,[M + H]+,
46,DTXSID7022332,'89-72-5,4-(Butan-2-yl)phenol,C10H14O;C10H14O;C10H14O;C10H14O,,1,,5,1,NA,NA,?,NA,"difference v1 vs 3, dif v1 vs v2, high expos pred",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=S653,,,GC-MS data,18.6,N,NA,
79,DTXSID1020439,'120-83-2,2--4-Dichlorophenol,C6H4Cl2O,,1,1,,1,1,NA,,NA,rar choice-- high pred exposure-- edc e2 up,NA,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=D748,,Y,LC-MS data,15,Y,[M - H]-,Ionization efficient may be low or may see ion suppression
82,DTXSID6020939,'139-13-9,Nitrilotriacetic--acid,C6H9NO6,,1,1,,1,1,NA,,NA,rar choice-- high predicted exposure-- EDC-E2up,NA,NA,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=I536,,,GC-MS data,15.2,M,[M - H]-,Maybe could force deprotonation in basic conditions
15,DTXSID8021480,'23214-92-8,ADRIAMYCIN,C27H29NO11,,2,1,,1,NA,1,,NA,5 reported as doxorubicin-- LH selection,NA,NA,,1,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/doxorubicin-23214-92-8?requestFrom=search,,,LC-MS data,52.1,Y,[M + H]+,
19,DTXSID5020364,'50-18-0,CYCLOPHOSPHAMIDE,C7H15Cl2N2O2P,,2,,1,1,NA,1,,NA,4 reported as cytoxan-- LH selection,NA,NA,,1,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/cyclophosphamide-50-18-0?requestFrom=search,,,LC-MS data,23,Y,[M + H]+,
23,DTXSID3020625,'98319-26-7,Finasteride,C23H36N2O2,,2,,1,1,NA,1,,NA,2 reported use-- repro harm,NA,NA,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/98319-26-7?focus=products&page=1&perPage=30&sort=relevance&term=98319-26-7&type=product,,,LC-MS data,42.4,Y,[M + H]+,
53,DTXSID50184723,'307-29-9,"1H,1H-PERFLUOROOCTYLAMINE",C8H4F15N,,2,,1,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,negative,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/aldrich/cds002883?context=product,Loaded based on no conflicts with this data in chemid and pubchem,,no spectra information,17.8,M,[M + H]+,Probably could force protonation in  acid environment
63,DTXSID9044825,'585-34-2,3-TERT-BUTYLPHENOL,C10H14O;C10H14O;C10H14O;C10H14O,,2,,5,1,NA,NA,1,NA,"difference v1 vs 3, dif v1 vs v2, high expos pred",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J11131,,,GC-MS data,18.4,N,NA,
16,DTXSID9034317,'8001-54-5,Benzalkonium--chloride,C21H38ClN,,3,,1,1,NA,1,,NA,? Rar selection-- disinfectant,NA,NA,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/substance/benzalkoniumchloride1234563449412?context=product,Undefined mixture of alkyldimethylbenzyl ammmonium chlorides,,no in pbchem,,Y,[M + H]+,
25,DTXSID9044299,'93390-81-9,FOSPHENYTOIN,C16H15N2O6P,,3,,1,1,NA,1,,NA,yes--  common and hazardous-- no handling precautions,NA,NA,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/93390-81-9?focus=products&page=1&perPage=30&sort=relevance&term=93390-81-9&type=product,,,no spectra information,34.2,M,[M + H]+,Probably could force protonation in  acid environment
27,DTXSID8041032,'82410-32-0,Ganciclovir,C9H13N5O4,,3,,2,1,NA,1,,NA,5 reported used,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_list.php?search=82410-32-0,,,LC-MS data,23,Y,[M + H]+/ [M - H]-,
74,DTXSID00620545,'1550-50-1,"N,N-DIMETHYL-2H-PERFLUOROETHANAMINE",C4H7F4N,,3,,5,1,NA,NA,1,NA,"Yes, PFAS, also in positive mode",NA,NA,negative,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/combiblocksinc/com497511590?context=bbe,,,no spectra information,9.86,N,NA,
78,DTXSID8035001,'112-38-9,10-Undecenoic--acid,C11H20O2,,3,,2,1,1,NA,,NA,rar choice? Expos predict-- EDC e2 up,1,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J11626,,,LC-MS data,21.5,Y,[M - H]-,
28,DTXSID4034150,'52-86-8,Haloperidol,C21H23ClFNO2,,4,,2,1,NA,1,,NA,?-- EC frequ used-- haz-- yes-- common and hazardous,NA,NA,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/52-86-8?focus=products&page=1&perPage=30&sort=relevance&term=52-86-8&type=product,,,LC-MS data,40,Y,[M + H]+,
29,DTXSID6020804,'148-82-3,Melphalan,C13H18Cl2N2O2,,4,,2,1,NA,1,,NA,4 reported used-- yes,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_list.php?search=148-82-3,,,MS-MS data,31.2,Y,[M + H]+/ [M - H]-,
37,DTXSID5046354,'104987-11-3,Tacrolimus,C44H69NO12,1,,1,,1,NA,1,,NA,LH selection-- yes-- common and hazardous,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J40076,,,LC-MS data,51.3,Y,[M + H]+/ [M - H]-/[M + Na]+,
56,DTXSID6068985,'54949-74-5,2:2 fluorotelomer alcohol,NA,,4,,5,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=5441AE,,,no spectra information,9.06,N,NA,
61,DTXSID70880134,'374-40-3,"3,3,4,4,4-Pentafluorobutan-2-ol",NA,,4,,5,1,NA,NA,1,NA,"Yes, PFAS, dif v1 vs v3",NA,NA,negative,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/matrixscientific/mat047024316?context=bbe,,,no spectra information,9.05,N,NA,
5,DTXSID2020006,'103-90-2,Acetaminophen,C8H9NO2,,,,,1,NA,NA,,1,1 yes from NTA,1,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_list.php?search=103-90-2,,,,,,,
6,DTXSID5025021,'84-61-7,Dicyclohexyl--phthalate,C20H26O4,,,,,1,NA,NA,,1,1 yes from NTA,1,1,,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/84-61-7?focus=products&page=1&perPage=30&sort=relevance&term=84-61-7&type=product,,,,,,,
8,DTXSID4020614,'297-76-7,Ethynodiol--diacetate,C24H32O4,,,,,1,NA,NA,,1,1 yes from NTA,1,1,,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J10286,,,,,,,
9,DTXSID0025527,'71-58-9,Medroxyprogesterone--acetate,C24H34O4,,,,,1,NA,NA,,1, 1 yes from NTA-FF and N - -- EC interested ,1,1,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/71-58-9?focus=products&page=1&perPage=30&sort=relevance&term=71-58-9&type=product,,,,,,,
10,DTXSID001009330,'3562-63-8,MEGESTROL,C22H30O3,,,,,1,NA,NA,,1,1 yes from NTA - FF (as megestrol acetate),1,1,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=I037,,,,,,,
13,DTXSID9036515,'57-85-2,Testosterone--propionate,C22H32O3,,,,,1,NA,NA,,1,1 yes NTA,1,1,,2,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/57-85-2?focus=products&page=1&perPage=30&sort=relevance&term=57-85-2&type=product,,,,,,,
14,DTXSID1022556,'59277-89-3,Acyclovir,C8H11N5O3,,,,,1,NA,1,,NA,2 reported used-- not on haz list-- used a lot,NA,NA,,1,NA,,no,Santa Cruz Biotechnology,https://www.scbt.com/p/acyclovir-59277-89-3?requestFrom=search,,,,,,,
17,DTXSID3020910,'55-98-1,Busulfan,C6H14O6S2,,,,,1,NA,1,,NA,4 reported adminis,NA,NA,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/'55-98-1?focus=products&page=1&perPage=30&sort=relevance&term=%2755-98-1&type=product,,,,,,,
21,DTXSID7022883,'20830-81-3,Daunorubicin,C27H29NO10,,,,,1,NA,1,,NA,2 reported uses,NA,NA,,1,NA,,no,Dc Chemicals,https://www.dcchemicals.com/product_show-DC23058.html,,,,,,,
24,DTXSID4039657,'21679-14-1,Fludarabine,C10H12FN5O4,,,,,1,NA,1,,NA,4 reported use,NA,1,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_list.php?search=21679-14-1,,,,,,,
26,DTXSID6020648,'54-31-9,FUROSEMIDE,C12H11ClN2O5S,,,,,1,NA,1,,NA,EC interested-- yes-- common and hazardous,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=H788,,,,,,,
31,DTXSID2020892,'443-48-1,METRONIDAZOLE,C6H9N3O3,,,,,1,NA,1,,NA,yes-- common and hazardous (mammary tumor),NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J10642,,,,,,,
33,DTXSID4041070,'24280-93-1,Mycophenolic--acid,C17H20O6,,,,,1,NA,1,,NA,yes-- common and hazardous-- included as different form,NA,1,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=E480,,,,,,,
34,DTXSID0045703,'28721-07-5,OXCARBAZEPINE,C15H12N2O2,,,,,1,NA,1,,NA,yes-- common and hazardous,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_list.php?search=28721-07-5,,,,,,,
35,DTXSID4021185,'53-03-2,Prednisone,C21H26O5,,,,,1,NA,1,,NA,yes-- common and hazardous,NA,1,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/substance/prednisone3584353032?context=product,,,,,,,
36,DTXSID6034186,'52-01-7,Spironolactone,C24H32O4S,,,,,1,NA,1,,NA,yes-- common and hazardous,1,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J10751,,,,,,,
38,DTXSID8023688,'97240-79-4,Topiramate,C12H21NO8S,,,,,1,NA,1,,NA,yes-- common and hazardous,NA,NA,,1,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=J11210,,,,,,,
40,DTXSID5023742,'81-81-2,Warfarin,C19H16O4,,,,,1,NA,1,,NA,?-- EC haz-- common-- yes-- common and hazardous,NA,NA,,1,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/search/81-81-2?focus=products&page=1&perPage=30&sort=relevance&term=81-81-2&type=product,,,,,,,
42,DTXSID9036854,'613-35-4,"N,N'-DIACETYLBENZIDINE",C16H16N2O2;C16H16N2O2,,,,,1,NA,NA,1?,NA,"carcinogenic , dif v1 vs v2, not produced in US. Legacy compound",NA,NA,negative,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?D309175,,,,,,,
43,DTXSID8022406,'131-56-6,"2,4-Dihydroxybenzophenone",C13H10O3;C13H10O3,,,,,1,NA,NA,?,NA,? Benozophenone,NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=D953,,,,,,,
44,DTXSID3022405,'131-57-7,2-Hydroxy-4-methoxybenzophenone,C14H12O3,,,,,1,NA,NA,?,NA,"? benzophonone 3, targeted previously",NA,NA,positive,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=I956,,,,,,,
45,DTXSID2026525,'88-18-6,2-tert-Butylphenol,C10H14O;C10H14O;C10H14O;C10H14O;C10H14O,,,,,1,NA,NA,?,NA,"difference v1 vs 3, dif v1 vs v2",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=L341,,,,,,,
47,DTXSID3047425,'1638-22-8,4-Butylphenol,C10H14O;C10H14O;C10H14O;C10H14O;C10H14O,,,,,1,NA,NA,?,NA,"difference v1 vs 3, dif v1 vs v2",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://www.trc-canada.com/product-detail/?B810815,,,,,,,
48,DTXSID3020960,'602-87-9,5-Nitroacenaphthene,C12H9NO2,,,,,1,NA,NA,?,NA,"Yes, combustion ",NA,NA,positive,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=W7281,,,,,,,
50,DTXSID1041188,'705-60-2,(2-Nitro-1-propenyl)benzene,C9H9NO2,,,,,1,NA,NA,1,NA,"yes, nitro",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=X6182,,,,,,,
51,DTXSID6049303,'4584-57-0,"1,4-Dimethylamino-4-nitrostilbene",C16H16N2O2;C16H16N2O2,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v2",NA,NA,negative,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?D495015,,,,,,,
52,DTXSID00194615,'4180-26-1,"1H,1H,9H-PERFLUORONONYL,ACRYLATE",C12H6F16O2,,,,,1,NA,NA,1,NA,"Yes, PFAS",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=2985AE,,,,,,,
54,DTXSID5044572,'647-42-7,2-(perfluorohexyl)ethanol,NA,,,,,1,NA,NA,1,NA,"Yes, PFAS",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=P706,,,,,,,
55,DTXSID4021559,'728-40-5,"2,6-Di-tert-butyl-4-nitrophenol",C14H21NO3,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v2",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=1936AL,,,,,,,
57,DTXSID9025297,'103-11-7,"2-Ethylhexyl,acrylate",NA,,,,,1,NA,NA,1,NA,"Acrylate, dif v1 vs v2",NA,NA,positive,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=5896AF,,,,,,,
60,DTXSID4025791,'88-72-2,2-Nitrotoluene,C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v2",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=G370,,,,,,,
62,DTXSID5021831,'99-08-1,3-Nitrotoluene,C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v2",NA,NA,negative,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/substance/3nitrotoluene1371499081?context=product,,,,,,,
64,DTXSID90583413,'356055-76-0,4-((PERFLUOROHEXYL)ETHYL)PHENYLMETHANOL,C15H11F13O,,,,,1,NA,NA,1,NA,"Yes, PFAS",NA,NA,positive,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/aldrich/16638?context=product,,,,,,,
66,DTXSID0043761,'587-90-6,"4,4'-Dinitrodiphenylurea",C13H10N4O5,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v3",NA,NA,positive,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=8731AB,,,,,,,
67,DTXSID7025558,'97-32-5,4-Methoxy-3-nitro-N-phenylbenzamide,C14H12N2O4;C14H12N2O4,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v2",NA,NA,positive,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/aldrich/s352225?context=product,,,,,,,
68,DTXSID5023792,'99-99-0,4-Nitrotoluene,C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2;C7H7NO2,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v3",NA,NA,negative,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/aldrich/n27322?context=product,,,,,,,
70,DTXSID7025429,'6088-51-3,"6-Hydroxy-2-naphthyl,disulfide",C20H14O2S2,,,,,1,NA,NA,1,NA,"Yes, PAH?",NA,NA,negative,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=6545AF,,,,,,,
71,DTXSID50382621,'25600-66-2,"7:3,FLUOROTELOMER,ALCOHOL",C10H7F15O,,,,,1,NA,NA,1,NA,"Yes, PFAS",NA,NA,negative,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?P999420,,,,,,,
72,DTXSID0044995,'86-20-4,9-Ethyl-3-nitro-9H-carbazole,C14H12N2O2,,,,,1,NA,NA,1,NA,"yes, nitro, dif v1 vs v2",NA,NA,positive,NA,NA,,no,"AK Scientific, Inc",https://aksci.com/item_detail.php?cat=L557,,,,,,,
73,DTXSID50441560,'132424-36-3,"METHYL,2H,2H,3H,3H-PERFLUOROHEPTANOATE",C8H7F9O2;C8H7F9O2,,,,,1,NA,NA,1,NA,"Yes, PFAS",NA,NA,negative,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?M325643,,,,,,,
76,DTXSID3031864,'1763-23-1,"Perfluorooctanesulfonic,acid",C8HF17O3S,,,,,1,NA,NA,1,NA,"Yes, PFAS, Targted compound",NA,NA,negative,NA,NA,,no,Sigma Aldrich,https://www.sigmaaldrich.com/US/en/product/sial/33607?context=product,,,,,,,
77,DTXSID90660157,'914637-43-7,"PERFLUORO-TERT-BUTYL,ISOBUTYRATE",C8H7F9O2;C8H7F9O2,,,,,1,NA,NA,1,NA,"yes, PFAS",NA,NA,negative,NA,NA,,no,Toronto Research Chemicals,https://www.trc-canada.com/product-detail/?N887825,,,,,,,
